status	source	name	name_en	author	candidate	name_zh	evidence
auto	mod:Onneb's Song Pack	M@GICAL☆CURE! LOVE ♥ SHOT!	M@GICAL☆CURE! LOVE ♥ SHOT!	SAWTOWNE	self	M@GICAL☆CURE! LOVE ♥ SHOT!	self-display-fallback
auto	mod:alocin Song Pack	Snow Mile	Snow Mile	Aqu3ra	self	Snow Mile	self-display-fallback
auto	mod:alocin Song Pack	FUN!!	FUN!!	DECO*27 / いよわ	self	FUN!!	self-display-fallback
auto	mod:alocin Song Pack	SToRY	SToRY	DECO*27 / kemu	self	SToRY	self-display-fallback
auto	mod:Kaito-Aiyumi SongPack3	Blue Star	Blue Star	八王子P	self	Blue Star	self-display-fallback
auto	mod:Kaito-Aiyumi SongPack3	Overwriter	Overwriter	tilt-6	self	Overwriter	self-display-fallback
auto	mod:Kaito-Aiyumi SongPack3	Singularity (Magical Mirai 2021)	Singularity (Magical Mirai 2021)	keisei	self	Singularity (Magical Mirai 2021)	self-display-fallback
auto	mod:Miracle Girls Festival Chart Pack	Jumping!!	Jumping!!	Meis Clauson	self	Jumping!!	self-display-fallback
auto	mod:Miracle Girls Festival Chart Pack	Your Voice	Your Voice	中塚 武	self	Your Voice	self-display-fallback
auto	mod:Miracle Girls Festival Chart Pack	Daydream café	Daydream café	大久保 薫	self	Daydream café	self-display-fallback
auto	mod:Miracle Girls Festival Chart Pack	Stand Up!!!!	Stand Up!!!!	井上 純一	self	Stand Up!!!!	self-display-fallback
auto	mod:Miracle Girls Festival Chart Pack	7 Girls War	7 Girls War	神前 暁 \/ 田中 秀和（MONACA	self	7 Girls War	self-display-fallback
auto	mod:Miracle Girls Festival Chart Pack	Innocent Blue	Innocent Blue	fu_mou	self	Innocent Blue	self-display-fallback
auto	mod:Miracle Girls Festival Chart Pack	Vivid Shining Sky	Vivid Shining Sky	神前 暁（MONACA）	self	Vivid Shining Sky	self-display-fallback
auto	mod:zombzach's song pack	FLOP ERA	FLOP ERA	エピーオン	self	FLOP ERA	self-display-fallback
auto	mod:zombzach's song pack	V	V	ゴゴ	self	V	self-display-fallback
auto	mod:zombzach's song pack	FOCUS	FOCUS	KIRA	self	FOCUS	self-display-fallback
auto	mod:Yoru Song Pack	Lindenbaum	Lindenbaum	zensen	self	Lindenbaum	self-display-fallback
auto	mod:Yoru Song Pack	Grievous Lady	Grievous Lady	Team Grimoire & Laur	self	Grievous Lady	self-display-fallback
auto	mod:Yoru Song Pack	Ré：Ré	Ré：Ré	Morimori Atsushi vs. uma	self	Ré：Ré	self-display-fallback
auto	mod:lavverso Song Pack	Intergalactic Bound	Intergalactic Bound	CircusP	self	Intergalactic Bound	self-display-fallback
auto	mod:lavverso Song Pack	We are POP☆CANDY!	We are POP☆CANDY!	runo	self	We are POP☆CANDY!	self-display-fallback
auto	mod:Rinissa's Song Pack	FAKE HEART	FAKE HEART	KIRA + Johnny R	self	FAKE HEART	self-display-fallback
auto	mod:Rinissa's Song Pack	LIFE	LIFE	monii, Johnny R	self	LIFE	self-display-fallback
auto	mod:Rinissa's Song Pack	TOXY!	TOXY!	煮ル果実	self	TOXY!	self-display-fallback
auto	mod:Rinissa's Song Pack	Colorful Array	Colorful Array	Andrew Holmes, Cosmoz Music	self	Colorful Array	self-display-fallback
auto	mod:Rinissa's Song Pack	MTMTM	MTMTM	TAK	self	MTMTM	self-display-fallback
auto	mod:lavverso Song Pack	Bad ∞ End ∞ Night	Bad ∞ End ∞ Night	ひとしずくP/やま△	self	Bad ∞ End ∞ Night	self-display-fallback
auto	mod:NiStory Song Pack	Confessions of a Rotten Girl	Confessions of a Rotten Girl	SAWTOWNE	self	Confessions of a Rotten Girl	self-display-fallback
auto	mod:NiStory Song Pack	.espect	.espect	Noname	self	.espect	self-display-fallback
auto	mod:NiStory Song Pack	LEMON MELON COOKIE	LEMON MELON COOKIE	Tak	self	LEMON MELON COOKIE	self-display-fallback
auto	mod:Nitori's Song Pack	Machine Love	Machine Love	Jamie Paige	self	Machine Love	self-display-fallback
